2,wavelength,frequency,flux,Hcont (erg/cm^2/s/Hz/ster),Hnu/Hcont
558,751,3.99191E+14,2.33E-05,2.33E-05,0.9993
559,753,3.98131E+14,2.33E-05,2.33E-05,0.99985
560,755,3.97076E+14,2.32E-05,2.32E-05,0.99997
561,757,3.96027E+14,2.32E-05,2.32E-05,0.99986
562,759,3.94984E+14,2.31E-05,2.31E-05,0.99992
563,761,3.93946E+14,2.30E-05,2.30E-05,0.99998
564,763,3.92913E+14,2.30E-05,2.30E-05,0.99994
565,765,3.91886E+14,2.29E-05,2.29E-05,0.99965
566,767,3.90864E+14,2.29E-05,2.29E-05,0.99984
567,769,3.89847E+14,2.28E-05,2.28E-05,0.99991
568,771,3.88836E+14,2.27E-05,2.28E-05,0.99929
569,773,3.8783E+14,2.27E-05,2.27E-05,0.99994
570,775,3.86829E+14,2.26E-05,2.26E-05,0.99993
571,777,3.85833E+14,2.23E-05,2.26E-05,0.98674
572,779,3.84843E+14,2.25E-05,2.25E-05,0.99993
573,781,3.83857E+14,2.25E-05,2.25E-05,0.99997
574,783,3.82877E+14,2.24E-05,2.24E-05,0.99986
575,785,3.81901E+14,2.23E-05,2.24E-05,0.99955
576,787,3.80931E+14,2.23E-05,2.23E-05,0.99845
577,789,3.79965E+14,2.22E-05,2.22E-05,0.99729
578,791,3.79004E+14,2.22E-05,2.22E-05,0.99978
579,793,3.78049E+14,2.21E-05,2.21E-05,0.9999
580,795,3.77098E+14,2.21E-05,2.21E-05,0.99927
581,797,3.76151E+14,2.20E-05,2.20E-05,0.99998
582,799,3.7521E+14,2.19E-05,2.20E-05,0.99742
583,801,3.74273E+14,2.19E-05,2.19E-05,0.99992
584,803,3.73341E+14,2.19E-05,2.19E-05,0.99992
585,805,3.72413E+14,2.18E-05,2.18E-05,0.99995
586,807,3.7149E+14,2.17E-05,2.17E-05,0.99989
587,809,3.70572E+14,2.17E-05,2.17E-05,0.99992
588,811,3.69658E+14,2.16E-05,2.16E-05,0.9999
589,813,3.68749E+14,2.16E-05,2.16E-05,0.99998
590,815,3.67844E+14,2.15E-05,2.15E-05,0.99998
591,817,3.66943E+14,2.15E-05,2.15E-05,0.99998
592,819,3.66047E+14,2.14E-05,2.14E-05,0.99897
593,821,3.65155E+14,2.14E-05,2.60E-05,0.82289
594,823,3.64268E+14,2.14E-05,2.60E-05,0.8234
595,825,3.63385E+14,2.13E-05,2.59E-05,0.82412
596,827,3.62506E+14,2.13E-05,2.58E-05,0.82541
597,829,3.61632E+14,2.12E-05,2.58E-05,0.82342
598,831,3.60761E+14,2.11E-05,2.57E-05,0.81948
599,833,3.59895E+14,2.09E-05,2.56E-05,0.81496
600,835,3.59033E+14,2.10E-05,2.56E-05,0.82255
601,837,3.58175E+14,2.05E-05,2.55E-05,0.80468
602,839,3.57321E+14,2.09E-05,2.54E-05,0.82138
603,841,3.56472E+14,2.09E-05,2.54E-05,0.82338
604,843,3.55626E+14,2.16E-05,2.53E-05,0.85539
605,845,3.54784E+14,2.14E-05,2.52E-05,0.84932
606,847,3.53946E+14,2.09E-05,2.52E-05,0.8288
607,849,3.53113E+14,2.28E-05,2.51E-05,0.90944
608,851,3.52283E+14,2.08E-05,2.50E-05,0.83234
609,853,3.51457E+14,2.33E-05,2.50E-05,0.93406
610,855,3.50635E+14,2.07E-05,2.49E-05,0.83191
611,857,3.49816E+14,2.38E-05,2.48E-05,0.95936
612,859,3.49002E+14,2.29E-05,2.48E-05,0.92349
613,861,3.48191E+14,2.23E-05,2.47E-05,0.9026
614,863,3.47384E+14,2.45E-05,2.46E-05,0.99488
615,865,3.46581E+14,2.44E-05,2.46E-05,0.99075
616,867,3.45781E+14,2.08E-05,2.45E-05,0.85016
617,869,3.44986E+14,2.43E-05,2.45E-05,0.99393
618,871,3.44194E+14,2.44E-05,2.44E-05,0.99923
619,873,3.43405E+14,2.42E-05,2.43E-05,0.99607
620,875,3.4262E+14,2.09E-05,2.43E-05,0.85936
621,877,3.41839E+14,2.40E-05,2.42E-05,0.99063
622,879,3.41061E+14,2.41E-05,2.41E-05,0.99987
623,881,3.40287E+14,2.41E-05,2.41E-05,0.99942
624,883,3.39516E+14,2.40E-05,2.40E-05,0.99853
625,885,3.38749E+14,2.36E-05,2.39E-05,0.98417
626,887,3.37985E+14,2.06E-05,2.39E-05,0.86431
627,889,3.37224E+14,2.38E-05,2.38E-05,0.99746
628,891,3.36468E+14,2.37E-05,2.38E-05,0.99769
629,893,3.35714E+14,2.36E-05,2.37E-05,0.99662
630,895,3.34964E+14,2.36E-05,2.36E-05,0.99989
631,897,3.34217E+14,2.36E-05,2.36E-05,0.99989
632,899,3.33473E+14,2.35E-05,2.35E-05,0.99783
633,901,3.32733E+14,2.07E-05,2.35E-05,0.88138
634,903,3.31996E+14,2.26E-05,2.34E-05,0.96667
635,905,3.31262E+14,2.33E-05,2.33E-05,0.99918
636,907,3.30532E+14,2.31E-05,2.33E-05,0.99433
637,909,3.29805E+14,2.30E-05,2.32E-05,0.99038
638,911,3.29081E+14,2.31E-05,2.31E-05,0.99737
639,913,3.2836E+14,2.31E-05,2.31E-05,0.99898
640,915,3.27642E+14,2.30E-05,2.30E-05,0.99987
641,917,3.26928E+14,2.30E-05,2.30E-05,0.99939
642,919,3.26216E+14,2.29E-05,2.29E-05,0.99841
643,921,3.25508E+14,2.27E-05,2.28E-05,0.99323
644,923,3.24802E+14,1.94E-05,2.28E-05,0.85156
645,925,3.241E+14,2.24E-05,2.27E-05,0.9859
646,927,3.23401E+14,2.24E-05,2.27E-05,0.98712
647,929,3.22705E+14,2.26E-05,2.26E-05,0.9994
648,931,3.22011E+14,2.25E-05,2.26E-05,0.99983
649,933,3.21321E+14,2.25E-05,2.25E-05,0.99966
650,935,3.20634E+14,2.24E-05,2.24E-05,0.99988
651,937,3.19949E+14,2.24E-05,2.24E-05,0.99992
652,939,3.19268E+14,2.23E-05,2.23E-05,0.99885
653,941,3.18589E+14,2.21E-05,2.23E-05,0.99386
654,943,3.17914E+14,2.22E-05,2.22E-05,0.99955
655,945,3.17241E+14,2.21E-05,2.21E-05,0.99985
656,947,3.16571E+14,2.21E-05,2.21E-05,0.99971
657,949,3.15904E+14,2.20E-05,2.20E-05,0.99987
658,951,3.15239E+14,2.20E-05,2.20E-05,0.99951
659,953,3.14578E+14,2.17E-05,2.19E-05,0.99106
660,955,3.13919E+14,1.87E-05,2.19E-05,0.8567
661,957,3.13263E+14,2.17E-05,2.18E-05,0.99453
662,959,3.1261E+14,2.17E-05,2.18E-05,0.99991
663,961,3.11959E+14,2.17E-05,2.17E-05,0.9991
664,963,3.11311E+14,2.15E-05,2.16E-05,0.9959
665,965,3.10666E+14,2.16E-05,2.16E-05,0.99987
666,967,3.10023E+14,2.15E-05,2.15E-05,0.99716
667,969,3.09383E+14,2.15E-05,2.15E-05,0.99976
668,971,3.08746E+14,2.14E-05,2.14E-05,0.99998
669,973,3.08112E+14,2.14E-05,2.14E-05,0.99997
670,975,3.0748E+14,2.13E-05,2.13E-05,0.99987
671,977,3.0685E+14,2.13E-05,2.13E-05,0.99999
672,979,3.06223E+14,2.12E-05,2.12E-05,0.99998
673,981,3.05599E+14,2.11E-05,2.11E-05,0.99987
674,983,3.04977E+14,2.11E-05,2.11E-05,0.99973
675,985,3.04358E+14,2.10E-05,2.10E-05,0.99945
676,987,3.03741E+14,2.10E-05,2.10E-05,0.99972
677,989,3.03127E+14,2.09E-05,2.09E-05,0.99848
678,991,3.02515E+14,2.09E-05,2.09E-05,0.99988
679,993,3.01906E+14,2.08E-05,2.08E-05,0.9995
680,995,3.01299E+14,2.08E-05,2.08E-05,0.9998
681,997,3.00695E+14,2.07E-05,2.07E-05,0.99998
682,999,3.00093E+14,2.07E-05,2.07E-05,0.99991
683,1002.5,2.99045E+14,2.02E-05,2.06E-05,0.98184
684,1007.5,2.97561E+14,1.95E-05,2.04E-05,0.95271
685,1012.5,2.96091E+14,2.03E-05,2.03E-05,0.99874
686,1017.5,2.94636E+14,2.02E-05,2.02E-05,0.99974
687,1022.5,2.93196E+14,2.01E-05,2.01E-05,0.99993
688,1027.5,2.91769E+14,1.99E-05,1.99E-05,0.99994
689,1032.5,2.90356E+14,1.98E-05,1.98E-05,0.99976
690,1037.5,2.88957E+14,1.97E-05,1.97E-05,0.99987
691,1042.5,2.87571E+14,1.96E-05,1.96E-05,0.99994
692,1047.5,2.86198E+14,1.94E-05,1.94E-05,0.99935
693,1052.5,2.84839E+14,1.93E-05,1.93E-05,0.99942
694,1057.5,2.83492E+14,1.92E-05,1.92E-05,0.99981
695,1062.5,2.82158E+14,1.91E-05,1.91E-05,0.99982
696,1067.5,2.80836E+14,1.88E-05,1.90E-05,0.99453
697,1072.5,2.79527E+14,1.88E-05,1.88E-05,0.99809
698,1077.5,2.7823E+14,1.87E-05,1.87E-05,0.99963
699,1082.5,2.76945E+14,1.86E-05,1.86E-05,0.99928
700,1087.5,2.75671E+14,1.85E-05,1.85E-05,0.99951
701,1092.5,2.7441E+14,1.72E-05,1.84E-05,0.93424
702,1097.5,2.7316E+14,1.81E-05,1.83E-05,0.99347
703,1102.5,2.71921E+14,1.81E-05,1.81E-05,0.99993
704,1107.5,2.70693E+14,1.80E-05,1.80E-05,0.99998
705,1112.5,2.69476E+14,1.79E-05,1.79E-05,0.9999
706,1117.5,2.68271E+14,1.78E-05,1.78E-05,0.99995
707,1122.5,2.67076E+14,1.77E-05,1.77E-05,0.99998
708,1127.5,2.65891E+14,1.76E-05,1.76E-05,0.99708
709,1132.5,2.64717E+14,1.75E-05,1.75E-05,0.99763
710,1137.5,2.63554E+14,1.74E-05,1.74E-05,0.99982
711,1142.5,2.624E+14,1.73E-05,1.73E-05,0.99973
712,1147.5,2.61257E+14,1.72E-05,1.72E-05,0.99997
713,1152.5,2.60124E+14,1.71E-05,1.71E-05,0.99999
714,1157.5,2.59E+14,1.70E-05,1.70E-05,0.99997
715,1162.5,2.57886E+14,1.69E-05,1.69E-05,0.99933
716,1167.5,2.56782E+14,1.67E-05,1.68E-05,0.99836
717,1172.5,2.55687E+14,1.67E-05,1.67E-05,0.99997
718,1177.5,2.54601E+14,1.65E-05,1.66E-05,0.99661
719,1182.5,2.53524E+14,1.65E-05,1.65E-05,0.99868
720,1187.5,2.52457E+14,1.64E-05,1.64E-05,0.99896
721,1192.5,2.51398E+14,1.63E-05,1.63E-05,1
722,1197.5,2.50349E+14,1.62E-05,1.62E-05,0.99902
723,1202.5,2.49308E+14,1.61E-05,1.61E-05,0.99987
724,1207.5,2.48275E+14,1.60E-05,1.60E-05,0.99978
725,1212.5,2.47252E+14,1.59E-05,1.59E-05,0.99981
726,1217.5,2.46236E+14,1.58E-05,1.58E-05,0.99994
727,1222.5,2.45229E+14,1.57E-05,1.57E-05,0.99992
728,1227.5,2.4423E+14,1.56E-05,1.56E-05,0.99979
729,1232.5,2.43239E+14,1.55E-05,1.55E-05,0.99984
730,1237.5,2.42257E+14,1.55E-05,1.55E-05,0.99989
731,1242.5,2.41282E+14,1.54E-05,1.54E-05,0.99999
732,1247.5,2.40315E+14,1.53E-05,1.53E-05,0.99954
733,1252.5,2.39355E+14,1.52E-05,1.52E-05,0.99993
734,1257.5,2.38404E+14,1.51E-05,1.51E-05,0.99945
735,1262.5,2.37459E+14,1.50E-05,1.50E-05,0.99963
736,1267.5,2.36523E+14,1.49E-05,1.49E-05,0.99998
737,1272.5,2.35593E+14,1.48E-05,1.48E-05,0.99999
738,1277.5,2.34671E+14,1.47E-05,1.48E-05,0.99824
739,1282.5,2.33756E+14,1.37E-05,1.47E-05,0.93381
740,1287.5,2.32849E+14,1.46E-05,1.46E-05,0.9992
741,1292.5,2.31948E+14,1.45E-05,1.45E-05,0.99998
742,1297.5,2.31054E+14,1.44E-05,1.44E-05,0.99997
743,1302.5,2.30167E+14,1.44E-05,1.44E-05,0.99999
744,1307.5,2.29287E+14,1.43E-05,1.43E-05,0.99999
745,1312.5,2.28413E+14,1.42E-05,1.42E-05,0.99998
746,1317.5,2.27547E+14,1.41E-05,1.41E-05,0.99946
747,1322.5,2.26686E+14,1.40E-05,1.40E-05,0.99999
748,1327.5,2.25832E+14,1.40E-05,1.40E-05,0.99999
749,1332.5,2.24985E+14,1.39E-05,1.39E-05,0.99999
750,1337.5,2.24144E+14,1.38E-05,1.38E-05,0.99999
751,1342.5,2.23309E+14,1.37E-05,1.37E-05,0.99997
752,1347.5,2.22481E+14,1.37E-05,1.37E-05,0.99992
753,1352.5,2.21658E+14,1.36E-05,1.36E-05,0.99972
754,1357.5,2.20842E+14,1.35E-05,1.35E-05,0.99986
755,1362.5,2.20031E+14,1.34E-05,1.34E-05,0.9999
756,1367.5,2.19227E+14,1.34E-05,1.34E-05,0.99979
757,1372.5,2.18428E+14,1.33E-05,1.33E-05,0.9994
758,1377.5,2.17635E+14,1.32E-05,1.32E-05,0.99991
759,1382.5,2.16848E+14,1.31E-05,1.32E-05,0.99992
760,1387.5,2.16067E+14,1.31E-05,1.31E-05,1
761,1392.5,2.15291E+14,1.30E-05,1.30E-05,0.9999
762,1397.5,2.14521E+14,1.29E-05,1.29E-05,0.99998
763,1402.5,2.13756E+14,1.29E-05,1.29E-05,0.99999
764,1407.5,2.12996E+14,1.28E-05,1.28E-05,1
765,1412.5,2.12243E+14,1.27E-05,1.27E-05,0.99998
766,1417.5,2.11494E+14,1.27E-05,1.27E-05,0.99998
767,1422.5,2.1075E+14,1.26E-05,1.26E-05,0.99998
768,1427.5,2.10012E+14,1.25E-05,1.25E-05,0.99999
769,1432.5,2.09279E+14,1.25E-05,1.25E-05,0.99998
770,1437.5,2.08551E+14,1.24E-05,1.24E-05,0.99999
771,1442.5,2.07828E+14,1.23E-05,1.23E-05,0.99842
772,1447.5,2.07111E+14,1.23E-05,1.23E-05,0.99998
773,1452.5,2.06398E+14,1.22E-05,1.22E-05,0.9992
774,1457,2.0576E+14,1.22E-05,1.22E-05,0.99997
775,1462,2.05056E+14,1.21E-05,1.28E-05,0.94404
776,1467.5,2.04288E+14,1.21E-05,1.28E-05,0.94477
777,1472.5,2.03594E+14,1.20E-05,1.27E-05,0.9451
778,1477.5,2.02905E+14,1.19E-05,1.26E-05,0.94497
779,1482.5,2.02221E+14,1.19E-05,1.26E-05,0.94519
780,1487.5,2.01541E+14,1.18E-05,1.25E-05,0.94398
781,1492.5,2.00866E+14,1.17E-05,1.24E-05,0.94328
782,1497.5,2.00195E+14,1.17E-05,1.24E-05,0.9444
783,1502.5,1.99529E+14,1.15E-05,1.23E-05,0.93812
784,1507.5,1.98867E+14,1.15E-05,1.22E-05,0.94115
785,1512.5,1.9821E+14,1.14E-05,1.22E-05,0.94033
786,1517.5,1.97557E+14,1.14E-05,1.21E-05,0.94183
787,1522.5,1.96908E+14,1.15E-05,1.20E-05,0.95817
788,1527.5,1.96264E+14,1.12E-05,1.20E-05,0.93654
789,1532.5,1.95623E+14,1.12E-05,1.19E-05,0.93995
790,1537.5,1.94987E+14,1.14E-05,1.19E-05,0.96328
791,1542.5,1.94355E+14,1.10E-05,1.18E-05,0.93524
792,1547.5,1.93727E+14,1.14E-05,1.17E-05,0.97042
793,1552.5,1.93103E+14,1.14E-05,1.17E-05,0.9751
794,1557.5,1.92483E+14,1.08E-05,1.16E-05,0.93321
795,1562.5,1.91867E+14,1.14E-05,1.16E-05,0.98336
796,1567.5,1.91255E+14,1.12E-05,1.15E-05,0.97346
797,1572.5,1.90647E+14,1.08E-05,1.15E-05,0.94128
798,1577.5,1.90043E+14,1.13E-05,1.14E-05,0.99025
799,1582.5,1.89442E+14,1.13E-05,1.13E-05,0.99232
800,1587.5,1.88846E+14,1.05E-05,1.13E-05,0.93111
801,1592.5,1.88253E+14,1.11E-05,1.12E-05,0.99326
802,1597.5,1.87664E+14,1.12E-05,1.12E-05,0.99988
803,1605,1.86787E+14,1.11E-05,1.11E-05,0.99703
804,1615,1.8563E+14,1.06E-05,1.10E-05,0.96631
805,1625,1.84488E+14,1.09E-05,1.09E-05,0.99999
806,1635,1.83359E+14,1.07E-05,1.08E-05,0.99629
807,1645,1.82245E+14,1.03E-05,1.07E-05,0.96718
808,1655,1.81144E+14,1.06E-05,1.06E-05,0.99998
809,1665,1.80056E+14,1.05E-05,1.05E-05,0.99995
810,1675,1.78981E+14,1.03E-05,1.04E-05,0.99576
811,1685,1.77918E+14,9.92E-06,1.03E-05,0.96731
812,1695,1.76869E+14,1.02E-05,1.02E-05,0.99992
813,1705,1.75831E+14,1.01E-05,1.01E-05,0.99989
814,1715,1.74806E+14,9.97E-06,9.97E-06,0.99997
815,1725,1.73793E+14,9.87E-06,9.87E-06,0.99976
816,1735,1.72791E+14,9.42E-06,9.78E-06,0.9636
817,1745,1.71801E+14,9.68E-06,9.69E-06,0.99892
818,1755,1.70822E+14,9.60E-06,9.60E-06,0.99973
819,1765,1.69854E+14,9.51E-06,9.51E-06,0.99973
820,1775,1.68897E+14,9.42E-06,9.42E-06,0.99985
821,1785,1.67951E+14,9.34E-06,9.34E-06,0.99986
822,1795,1.67015E+14,9.25E-06,9.25E-06,0.99999
823,1805,1.6609E+14,9.16E-06,9.17E-06,0.99924
824,1815,1.65175E+14,8.77E-06,9.09E-06,0.96554
825,1825,1.6427E+14,8.98E-06,9.00E-06,0.99751
826,1835,1.63375E+14,8.92E-06,8.92E-06,0.99992
827,1845,1.62489E+14,8.84E-06,8.84E-06,0.99998
828,1855,1.61613E+14,8.76E-06,8.77E-06,0.99981
829,1865,1.60747E+14,8.69E-06,8.69E-06,0.99984
830,1875,1.59889E+14,8.26E-06,8.61E-06,0.95939
831,1885,1.59041E+14,8.53E-06,8.54E-06,0.99915
832,1895,1.58202E+14,8.46E-06,8.46E-06,0.99979
833,1905,1.57371E+14,8.39E-06,8.39E-06,0.99999
834,1915,1.5655E+14,8.32E-06,8.32E-06,0.99999
835,1925,1.55736E+14,8.24E-06,8.24E-06,0.99998
836,1935,1.54932E+14,8.17E-06,8.17E-06,0.9999
837,1945,1.54135E+14,7.82E-06,8.10E-06,0.96459
838,1955,1.53347E+14,8.03E-06,8.04E-06,0.9999
839,1965,1.52566E+14,7.97E-06,7.97E-06,0.99999
840,1975,1.51794E+14,7.90E-06,7.90E-06,0.99994
841,1985,1.51029E+14,7.83E-06,7.83E-06,0.99999
842,1995,1.50272E+14,7.77E-06,7.77E-06,0.99999
843,2005,1.49522E+14,7.70E-06,7.70E-06,1
844,2015,1.4878E+14,7.64E-06,7.64E-06,0.99999
845,2025,1.48046E+14,7.58E-06,7.58E-06,0.99999
846,2035,1.47318E+14,7.51E-06,7.51E-06,0.99999
847,2045,1.46598E+14,7.45E-06,7.45E-06,1
848,2055,1.45884E+14,7.39E-06,7.39E-06,0.99999
849,2065,1.45178E+14,7.33E-06,7.33E-06,0.99997
850,2075,1.44478E+14,7.27E-06,7.27E-06,0.99999
851,2085,1.43785E+14,7.21E-06,7.21E-06,0.99999
852,2095,1.43099E+14,7.16E-06,7.16E-06,0.99999
853,2105,1.42419E+14,7.10E-06,7.10E-06,0.99997
854,2115,1.41746E+14,7.04E-06,7.04E-06,0.99985
855,2125,1.41079E+14,6.98E-06,6.99E-06,0.99982
856,2135,1.40418E+14,6.93E-06,6.93E-06,0.99985
857,2145,1.39763E+14,6.88E-06,6.88E-06,0.99995
858,2155,1.39115E+14,6.82E-06,6.82E-06,0.99997
859,2165,1.38472E+14,6.53E-06,6.77E-06,0.96485
860,2175,1.37836E+14,6.71E-06,6.72E-06,0.99923
861,2185,1.37205E+14,6.66E-06,6.66E-06,0.99998
862,2195,1.3658E+14,6.61E-06,6.61E-06,1
863,2205,1.3596E+14,6.56E-06,6.56E-06,0.99998
864,2215,1.35347E+14,6.51E-06,6.51E-06,0.99987
865,2225,1.34738E+14,6.46E-06,6.46E-06,1
866,2235,1.34135E+14,6.41E-06,6.41E-06,1
867,2245,1.33538E+14,6.36E-06,6.36E-06,1
868,2255,1.32946E+14,6.32E-06,6.32E-06,0.99995
869,2265,1.32359E+14,6.27E-06,6.27E-06,0.99999
870,2275,1.31777E+14,6.22E-06,6.22E-06,0.99999
871,2285,1.312E+14,6.18E-06,6.32E-06,0.97837
872,2295,1.30629E+14,6.13E-06,6.27E-06,0.97859
873,2305,1.30062E+14,6.09E-06,6.22E-06,0.97888
874,2315,1.295E+14,6.05E-06,6.18E-06,0.9791
875,2325,1.28943E+14,6.00E-06,6.13E-06,0.97927
876,2335,1.28391E+14,5.96E-06,6.08E-06,0.97931
877,2345,1.27843E+14,5.91E-06,6.04E-06,0.9791
878,2355,1.273E+14,5.87E-06,5.99E-06,0.97911
879,2365,1.26762E+14,5.82E-06,5.95E-06,0.97856
880,2375,1.26228E+14,5.78E-06,5.91E-06,0.97927
881,2385,1.25699E+14,5.74E-06,5.86E-06,0.97896
882,2395,1.25174E+14,5.70E-06,5.82E-06,0.97848
883,2405,1.24654E+14,5.65E-06,5.78E-06,0.97716
884,2415,1.24138E+14,5.60E-06,5.74E-06,0.97543
885,2425,1.23626E+14,5.61E-06,5.70E-06,0.98492
886,2435,1.23118E+14,5.52E-06,5.66E-06,0.97536
887,2445,1.22615E+14,5.47E-06,5.62E-06,0.97388
888,2455,1.22115E+14,5.50E-06,5.58E-06,0.98592
889,2465,1.2162E+14,5.42E-06,5.54E-06,0.97898
890,2475,1.21128E+14,5.39E-06,5.50E-06,0.97982
891,2485,1.20641E+14,5.41E-06,5.46E-06,0.99096
892,2495,1.20157E+14,5.24E-06,5.42E-06,0.9665
893,2505,1.19678E+14,5.34E-06,5.38E-06,0.99226
894,2515,1.19202E+14,5.31E-06,5.35E-06,0.99302
895,2525,1.1873E+14,5.12E-06,5.31E-06,0.96474
896,2535,1.18261E+14,5.24E-06,5.27E-06,0.99374
897,2545,1.17797E+14,5.21E-06,5.24E-06,0.99515
898,2555,1.17336E+14,5.17E-06,5.20E-06,0.99487
899,2565,1.16878E+14,4.97E-06,5.16E-06,0.9633
900,2575,1.16424E+14,5.11E-06,5.13E-06,0.99634
901,2585,1.15974E+14,5.08E-06,5.09E-06,0.99743
902,2595,1.15527E+14,5.05E-06,5.06E-06,0.99856
903,2605,1.15084E+14,5.00E-06,5.03E-06,0.99582
904,2615,1.14643E+14,4.81E-06,4.99E-06,0.9628
905,2625,1.14207E+14,4.75E-06,4.96E-06,0.95874
906,2635,1.13773E+14,4.92E-06,4.93E-06,0.99834
907,2645,1.13343E+14,4.89E-06,4.89E-06,0.99999
908,2655,1.12916E+14,4.86E-06,4.86E-06,0.99995
909,2665,1.12493E+14,4.82E-06,4.83E-06,0.99919
910,2675,1.12072E+14,4.61E-06,4.80E-06,0.96201
911,2685,1.11655E+14,4.76E-06,4.76E-06,0.99925
912,2695,1.1124E+14,4.73E-06,4.73E-06,0.99999
913,2705,1.10829E+14,4.70E-06,4.70E-06,0.99996
914,2715,1.10421E+14,4.67E-06,4.67E-06,1
915,2725,1.10016E+14,4.64E-06,4.64E-06,1
916,2735,1.09613E+14,4.61E-06,4.61E-06,0.99999
917,2745,1.09214E+14,4.58E-06,4.58E-06,0.99998
918,2755,1.08818E+14,4.40E-06,4.55E-06,0.96595
919,2765,1.08424E+14,4.50E-06,4.52E-06,0.99472
920,2775,1.08033E+14,4.49E-06,4.49E-06,0.99999
921,2785,1.07645E+14,4.47E-06,4.47E-06,1
922,2795,1.0726E+14,4.44E-06,4.44E-06,1
923,2805,1.06878E+14,4.41E-06,4.41E-06,1
924,2815,1.06498E+14,4.38E-06,4.38E-06,1
925,2825,1.06121E+14,4.35E-06,4.35E-06,0.99999
926,2835,1.05747E+14,4.33E-06,4.33E-06,1
927,2845,1.05375E+14,4.30E-06,4.30E-06,0.99997
928,2855,1.05006E+14,4.27E-06,4.27E-06,0.99999
929,2865,1.0464E+14,4.24E-06,4.25E-06,0.99763
930,2875,1.04276E+14,4.07E-06,4.22E-06,0.9639
931,2885,1.03914E+14,4.19E-06,4.19E-06,0.99991
932,2895,1.03555E+14,4.17E-06,4.17E-06,0.99986
933,2905,1.03199E+14,4.14E-06,4.14E-06,1
934,2915,1.02845E+14,4.12E-06,4.12E-06,0.99992
935,2925,1.02493E+14,4.09E-06,4.09E-06,0.99999
936,2935,1.02144E+14,4.07E-06,4.07E-06,0.99999
937,2945,1.01797E+14,4.04E-06,4.04E-06,1
938,2955,1.01453E+14,4.02E-06,4.02E-06,1
939,2965,1.01111E+14,4.00E-06,4.00E-06,1
940,2975,1.00771E+14,3.97E-06,3.97E-06,1
941,2985,1.00433E+14,3.95E-06,3.95E-06,1
942,2995,1.00098E+14,3.92E-06,3.92E-06,1
943,3005,9.97646E+13,3.90E-06,3.90E-06,0.99999
944,3015,9.94337E+13,3.88E-06,3.88E-06,0.99999
945,3025,9.9105E+13,3.85E-06,3.85E-06,0.99998
946,3035,9.87784E+13,3.72E-06,3.83E-06,0.97199
947,3045,9.8454E+13,3.77E-06,3.81E-06,0.99021
948,3055,9.81318E+13,3.79E-06,3.79E-06,0.99998
949,3065,9.78116E+13,3.76E-06,3.76E-06,0.99999
950,3075,9.74935E+13,3.74E-06,3.74E-06,0.99999
951,3085,9.71775E+13,3.72E-06,3.72E-06,0.99989
952,3095,9.68635E+13,3.70E-06,3.70E-06,0.99998
953,3105,9.65515E+13,3.68E-06,3.68E-06,0.99998
954,3115,9.62416E+13,3.66E-06,3.66E-06,0.99997
955,3125,9.59336E+13,3.64E-06,3.64E-06,0.99996
956,3135,9.56276E+13,3.62E-06,3.62E-06,0.99998
957,3145,9.53235E+13,3.59E-06,3.59E-06,0.99994
958,3155,9.50214E+13,3.57E-06,3.57E-06,0.99999
959,3165,9.47212E+13,3.55E-06,3.55E-06,1
960,3175,9.44228E+13,3.53E-06,3.53E-06,0.99998
961,3185,9.41264E+13,3.51E-06,3.51E-06,1
962,3195,9.38318E+13,3.49E-06,3.49E-06,0.99999
963,3210,9.33933E+13,3.46E-06,3.46E-06,0.99999
964,3230,9.2815E+13,3.43E-06,3.43E-06,1
965,3250,9.22439E+13,3.39E-06,3.39E-06,1
966,3270,9.16797E+13,3.35E-06,3.35E-06,0.99999
967,3290,9.11223E+13,3.24E-06,3.35E-06,0.96835
968,3310,9.05718E+13,3.26E-06,3.31E-06,0.98607
969,3330,9.00278E+13,3.24E-06,3.28E-06,0.98783
970,3350,8.94903E+13,3.20E-06,3.24E-06,0.9881
971,3370,8.89592E+13,3.17E-06,3.20E-06,0.9882
972,3390,8.84344E+13,3.13E-06,3.17E-06,0.98843
973,3410,8.79157E+13,3.10E-06,3.14E-06,0.98851
974,3430,8.74031E+13,3.07E-06,3.10E-06,0.98869
975,3450,8.68964E+13,3.04E-06,3.07E-06,0.98878
976,3470,8.63955E+13,3.01E-06,3.04E-06,0.98912
977,3490,8.59004E+13,2.97E-06,3.01E-06,0.98892
978,3510,8.5411E+13,2.94E-06,2.98E-06,0.98934
979,3530,8.49271E+13,2.91E-06,2.95E-06,0.98933
980,3550,8.44486E+13,2.88E-06,2.91E-06,0.98843
981,3570,8.39755E+13,2.85E-06,2.89E-06,0.98758
982,3590,8.35077E+13,2.84E-06,2.86E-06,0.99295
983,3610,8.3045E+13,2.79E-06,2.83E-06,0.98675
984,3630,8.25875E+13,2.78E-06,2.80E-06,0.99376
985,3650,8.21349E+13,2.73E-06,2.77E-06,0.98564
986,3670,8.16873E+13,2.73E-06,2.74E-06,0.99467
987,3690,8.12446E+13,2.67E-06,2.72E-06,0.98406
988,3710,8.08066E+13,2.68E-06,2.69E-06,0.99512
989,3730,8.03733E+13,2.63E-06,2.66E-06,0.98891
990,3750,7.99447E+13,2.56E-06,2.64E-06,0.97025
991,3770,7.95206E+13,2.60E-06,2.61E-06,0.99617
992,3790,7.91009E+13,2.58E-06,2.59E-06,0.9967
